OldName;NewName
CODIGO_ARTICULO_FACTURA_LINEA;CODIGO_ART_FACLIN
CODIGO_UNIDAD_FACTURA_LINEA;CODIGO_UNIDAD_FACLIN
LOTE_FACTURA_LINEA;LOTE_FACLIN
FECHA_CADUCIDAD_FACTURA_LINEA;FECHA_CADUCIDAD_FACLIN
CODIGO_FAMILIA_FACTURA_LINEA;CODIGO_FAM_FACLIN
NOMBRE_FAMILIA_FACTURA_LINEA;NOMBRE_FAM_FACLIN
PRECIO_ULT_COMPRA_FACTURA_LINEA;PRECIO_ULT_COMPRA_FACLIN
CODIGO_PROVEEDOR_FACTURA_LINEA;CODIGO_PRV_FACLIN
RAZONSOCIAL_PROVEEDOR_FACTURA_LINEA;RAZON_SOCIAL_PROVEEDOR_FACLIN
ESPROVEEDORPRINCIPAL_FACTURA_LINEA;ESPROVEEDORPRINCIPAL_FACLIN
FECHA_ENTREGA_FACTURA_LINEA;FECHA_ENTREGA_FACLIN
TIPO_ARTICULO_FACTURA_LINEA;TIPO_ARTICULO_FACLIN
TIPO_CANTIDAD_ARTICULO_FACTURA_LINEA;TIPO_CANTIDAD_ARTICULO_FACLIN
CANTIDAD_FACTURA_LINEA;CANTIDAD_FACLIN
DESCRIPCION_ARTICULO_FACTURA_LINEA;DESCRIPCION_ARTICULO_FACLIN
DESCRIPCION_VARIACION_FACTURA_LINEA;DESCRIPCION_VARIACION_FACLIN
CODIGO_TARIFA_FACTURA_LINEA;CODIGO_TAR_FACLIN
ESIMP_INCL_TARIFA_FACTURA_LINEA;ESIMP_INCL_TARIFA_FACLIN
PRECIOSALIDA_FACTURA_LINEA;PRECIO_SALIDA_FACLIN
PORCEN_DTO_FACTURA_LINEA;PORCENTAJE_DTO_FACLIN
PRECIO_DTO_FACTURA_LINEA;PRECIO_DTO_FACLIN
PRECIOVENTA_SIVA_ARTICULO_FACTURA_LINEA;PRECIO_VENTA_SIVA_ARTICULO_FACLIN
TIPOIVA_ARTICULO_FACTURA_LINEA;TIPO_IVA_ARTICULO_FACLIN
PORCEN_IVA_FACTURA_LINEA;PORCENTAJE_IVA_FACLIN
PRECIOVENTA_CIVA_ARTICULO_FACTURA_LINEA;PRECIO_VENTA_CIVA_ARTICULO_FACLIN
TOTAL_FACTURA_LINEA;TOTAL_FACLIN
TOTAL_FACTURASIVA_LINEA;TOTAL_FAC_SIVA_FACLIN
CODIGO_VENDEDOR_FACTURA_LINEA;CODIGO_VENDEDOR_FACLIN
CODIGO_ALMACEN_FACTURA_LINEA;CODIGO_ALM_FACLIN
CODIGO_CAJA_FACTURA_LINEA;CODIGO_CAJA_FACLIN
NUMERO_OPERACION_FACTURA_LINEA;NUMERO_OPERACION_FACLIN
NUMERO_MOV_FACTURA_LINEA;NUMERO_MOV_FACLIN
SERIE_FACTURA_PAGO;SERIE_FAC_FACPAG
NRO_FACTURA_PAGO;NUMERO_FAC_FACPAG
LINEA_PAGO;LINEA_FACPAG
TIPO_PAGO;TIPO_FACPAG
IMPORTE_PAGO;IMPORTE_FACPAG
REFERENCIA_PAGO;REFERENCIA_FACPAG
DESCRIPCION_PAGO;DESCRIPCION_FACPAG
ENTIDAD_PAGO;ENTIDAD_FACPAG
FECHA_PAGO;FECHA_FACPAG
ES_REQUERIDO;ESREQUERIDO_FA
ORDEN_MOSTRAR;ORDEN_MOSTRAR_FA
CODIGO_FAMILIA_FAD;CODIGO_FAM_FAD
ID_VA_BASICO_FAD;ID_VA_ATB_FAD
